"design","m","m1","T","sigma2_eps","sigma2_f","k","df_eff_avg","pop_opt","pop_opt_Eest_paper","pop_opt_Eest_df","pop_avg","Average","RestrOLS","Shrink","RSM","MSE","Rank","sd_Average","sd_RestrOLS","sd_Shrink","sd_RSM","sd_MSE","sd_Rank"
"RandomSigma_nonneg",20,NA,100,1,0.75,10,18.9900822844907,1.00000234565905,1.19000279133427,1.18990361394743,1.38493395058157,1.38461754359059,1.23776606020977,1.23773444408778,1.36645600295412,1.38493575588378,1.39636506361985,0.0631177903349822,0.098495602621208,0.0984856688139718,0.0878564021644442,0.0631033022684774,0.0640087367593894
"RandomSigma_nonneg",20,NA,100,1,1,10,18.9925061727298,1.00000312007217,1.19000371288589,1.18992877438191,1.5131107876493,1.51620717285052,1.24224098405783,1.2422093493989,1.46845944133684,1.51653256280597,1.5309468800312,0.0697996026903115,0.103966148599016,0.103955801496836,0.104964468944403,0.0698025989642107,0.0711302406658764
"RandomSigma_nonneg",20,NA,100,1,1.2,10,18.9937548952384,1.00000380293795,1.19000452549617,1.18994207421388,1.61543756956876,1.61604570741013,1.23574116475066,1.2357098950826,1.54331572077229,1.61663515419452,1.63449409505943,0.0716795038933719,0.105018988368562,0.105007921730771,0.113302346404027,0.0718216618450117,0.074106714549044
"RandomSigma_nonneg",20,NA,300,1,0.75,17,18.997167358285,1.00000228164731,1.06333575948497,1.06332631732455,1.38497851365985,1.38190620356425,1.06815475131612,1.06814583799086,1.05081183751079,1.38199091729616,1.39352365436284,0.0640285649094151,0.0549745416235526,0.0549732034240201,0.052190231238921,0.0640519978248629,0.0652983252727949
"RandomSigma_nonneg",20,NA,300,1,1,17,18.9978597044761,1.00000299854043,1.06333652178132,1.06332938744177,1.512399092936,1.51499262736734,1.06967375852157,1.06966535776455,1.05277806213358,1.51517569489053,1.53074155008809,0.0679705495591826,0.0531561239902252,0.053154627756395,0.0503430814669635,0.0680055328133878,0.0694230940495847
"RandomSigma_nonneg",20,NA,300,1,1.2,17,18.9982180755452,1.00000369879918,1.0633372663898,1.06333132661989,1.61479710493783,1.61445359812488,1.06678882475989,1.06677976500932,1.04990396423705,1.61459537878365,1.63215346292432,0.0765809046423506,0.0525553183701986,0.0525539469502141,0.0498214575919924,0.0764932305389878,0.0771467832415898
"RandomSigma_nonneg",50,NA,100,1,0.75,10,48.9736185227946,1.00000276377755,1.49000411802855,1.4897403025283,1.37234086890893,1.37433140017816,1.98834028104064,1.9882095681984,1.40913272251255,1.37444789928614,1.3805908989388,0.0639107077808128,0.299271825024326,0.299233697178207,0.0673127428554325,0.0639211816998,0.0643041199942509
"RandomSigma_nonneg",50,NA,100,1,1,10,48.9802416268432,1.00000371046275,1.4900055285895,1.48980794412527,1.496199431295,1.49670083675457,1.97287420984307,1.97274572770876,1.52947786071338,1.49686004701757,1.50468162244886,0.065523875005117,0.297118501193781,0.297081742245906,0.0715714839563898,0.065618160264051,0.0664870111836516
"RandomSigma_nonneg",50,NA,100,1,1.2,10,48.9834890207225,1.00000446379228,1.49000665105049,1.4898415405208,1.59508756914186,1.5919055023667,1.98072982377381,1.98059951850413,1.62328248012885,1.59216885083393,1.60197313480539,0.0738634558161018,0.305586056687035,0.305547152829436,0.080563630215325,0.0739051898624048,0.0746508323135065
"RandomSigma_nonneg",50,NA,300,1,0.75,17,48.9947294808548,1.00000276293545,1.16333654754824,1.16331897910257,1.3720768839382,1.3725186384233,1.1960994947088,1.19607352364571,1.33995026527198,1.37252175066342,1.3785093257848,0.0602441035249089,0.0669323252955821,0.066927912050933,0.0642437201330083,0.0602492844870966,0.0607527823410798
