T_len,rho,R2_target,phi_f,phi_eta,phi_u,z,rmsfe_base,rmsfe_rs,rel_rmsfe,rmse_pooled_base,rmse_pooled_rs,bias_base,var_base,bias_rs,var_rs,Q_ols,Q_rs_bag,Q_rs_subavg,L_ols,L_rs_bag,L_rs_subavg
500,0.000000,0.300000,0.7,0.3,0.0,37,1.009314,1.015095,1.005727,1.023402,1.029272,0.000121,1.047231,0.000118,1.059284,0.901106,0.909550,0.937323,1.001586,0.981922,1.011905
500,0.000000,0.300000,0.7,0.3,0.0,38,1.009314,1.016510,1.007130,1.023402,1.030701,0.000121,1.047231,0.000122,1.062224,0.901106,0.908268,0.934348,1.001586,0.982711,1.010928
500,0.000000,0.300000,0.7,0.3,0.0,39,1.009314,1.017958,1.008564,1.023402,1.032181,0.000121,1.047231,0.000119,1.065279,0.901106,0.907103,0.931421,1.001586,0.983629,1.009999
500,0.000000,0.300000,0.7,0.3,0.0,40,1.009314,1.019463,1.010055,1.023402,1.033712,0.000121,1.047231,0.000119,1.068442,0.901106,0.906045,0.928518,1.001586,0.984668,1.009091
500,0.000000,0.300000,0.7,0.3,0.0,41,1.009314,1.020990,1.011568,1.023402,1.035255,0.000121,1.047231,0.000120,1.071633,0.901106,0.905092,0.925642,1.001586,0.985826,1.008209
500,0.000000,0.300000,0.7,0.3,0.0,42,1.009314,1.022789,1.013350,1.023402,1.037087,0.000121,1.047231,0.000121,1.075428,0.901106,0.904247,0.922802,1.001586,0.987107,1.007362
500,0.000000,0.300000,0.7,0.3,0.0,43,1.009314,1.024518,1.015063,1.023402,1.038847,0.000121,1.047231,0.000121,1.079083,0.901106,0.903504,0.919988,1.001586,0.988505,1.006540
500,0.000000,0.300000,0.7,0.3,0.0,44,1.009314,1.026252,1.016781,1.023402,1.040599,0.000121,1.047231,0.000123,1.082723,0.901106,0.902866,0.917213,1.001586,0.990024,1.005757
500,0.000000,0.300000,0.7,0.3,0.0,45,1.009314,1.028067,1.018579,1.023402,1.042439,0.000121,1.047231,0.000124,1.086556,0.901106,0.902327,0.914458,1.001586,0.991659,1.004992
500,0.000000,0.300000,0.7,0.3,0.0,46,1.009314,1.029890,1.020386,1.023402,1.044302,0.000121,1.047231,0.000124,1.090444,0.901106,0.901887,0.911733,1.001586,0.993411,1.004257
