"k","rsm_bagged","rsm_subset_avg","equal_weight","oracle_optimal","full_estimated","Q_bag_inf_smallhet","Q_bag_G_smallhet","R_bag_excess_smallhet","R_bag_G_excess_smallhet","Q_subset_leading","Q_subset_delta","L_bag_inf_smallhet","L_bag_G_smallhet","L_subset_leading","L_subset_delta","L_equal","L_oracle_optimal","L_full_estimated_theory"
32,2.36740136813277,2.59854078226864,2.1884016873918,2.18126722863615,2.71947767951898,1.16000086948009,1.16011336839324,8.69480090148755e-07,0.000113368393240165,1.25,1.25011834590117,2.48192407598914,2.48205334156723,2.58533653846154,2.58547252245375,2.16651456182473,2.16,2.71705263157895
33,2.38079179855081,2.60198619735961,2.1884016873918,2.18126722863615,2.71947767951898,1.16000072926362,1.16010375865507,7.29263623933107e-07,0.000103758655074504,1.24242424242424,1.24252934218179,2.49391388547829,2.49403284211866,2.58907919777485,2.58920054483792,2.16651456182473,2.16,2.71705263157895
34,2.39515427522218,2.60591837088338,2.1884016873918,2.18126722863615,2.71947767951898,1.16000060855063,1.160094725437,6.08550634328964e-07,9.47254370047279e-05,1.23529411764706,1.23538730196293,2.50602012351263,2.50612931737594,2.59337521416334,2.59348332606379,2.16651456182473,2.16,2.71705263157895
35,2.40903195982799,2.60975995898934,2.1884016873918,2.18126722863615,2.71947767951898,1.16000050473221,1.16008621838701,5.04732206474401e-07,8.6218387005621e-05,1.22857142857143,1.22865386816517,2.51824449088291,2.51834442046095,2.5981881533101,2.59828426581207,2.16651456182473,2.16,2.71705263157895
36,2.42488084992831,2.6150600438699,2.1884016873918,2.18126722863615,2.71947767951898,1.16000041559054,1.16007819284883,4.15590544644573e-07,7.81928488342576e-05,1.22222222222222,1.22229495056752,2.53058872218696,2.5306798435827,2.60348583877996,2.60357104502764,2.16651456182473,2.16,2.71705263157895
37,2.44004633302536,2.61963656601377,2.1884016873918,2.18126722863615,2.71947767951898,1.16000033923281,1.16007060907904,3.39232806068068e-07,7.06090790352221e-05,1.21621621621622,1.21628014855273,2.54305458658444,2.54313731807827,2.60923978165357,2.60931505174435,2.16651456182473,2.16,2.71705263157895
38,2.45762718457949,2.62608618929646,2.1884016873918,2.18126722863615,2.71947767951898,1.16000027403743,1.16006343158962,2.74037430747498e-07,6.34315896206328e-05,1.21052631578947,1.21058226509824,2.55564388858884,2.55571861460356,2.61542470036477,2.61549089781426,2.16651456182473,2.16,2.71705263157895
39,2.47457226034461,2.63187221127564,2.1884016873918,2.18126722863615,2.71947767951898,1.16000021861036,1.16005662859351,2.18610362479055e-07,5.66285935097444e-05,1.2051282051282,1.20517689561804,2.56835846889491,2.56842554345198,2.62201811455543,2.6220760102125,2.16651456182473,2.16,2.71705263157895
40,2.49262163505943,2.6384173816997,2.1884016873918,2.18126722863615,2.71947767951898,1.16000017174915,1.16005017153447,1.7174915356577e-07,5.01715344671805e-05,1.2,1.20004207854264,2.58120020524024,2.58125995498369,2.629,2.62905028385845,2.16651456182473,2.16,2.71705263157895
41,2.51115282011995,2.6449853328441,2.1884016873918,2.18126722863615,2.71947767951898,1.16000013241339,1.16004403468689,1.32413386699781e-07,4.40346868944008e-05,1.19512195121951,1.1951579970859,2.5941710133005,2.5942237401516,2.63635249417821,2.63639578544487,2.16651456182473,2.16,2.71705263157895
42,2.53103492873546,2.65233855804988,2.1884016873918,2.18126722863615,2.71947767951898,1.16000009970019,1.16003819481366,9.97001889935234e-08,3.81948136589649e-05,1.19047619047619,1.19050672365906,2.6072728476179,2.60731883111346,2.64405964405964,2.64409649977028,2.16651456182473,2.16,2.71705263157895
43,2.55142117339655,2.65980281732998,2.1884016873918,2.18126722863615,2.71947767951898,1.16000007282387,1.16003263087238,7.28238704894579e-08,3.26308723754831e-05,1.18604651162791,1.18607199998256,2.62050770256297,2.62054720192131,2.65210718923386,2.65213811165397,2.16651456182473,2.16,2.71705263157895
44,2.57268421268037,2.66755788545893,2.1884016873918,2.18126722863615,2.71947767951898,1.16000005109892,1.16002732376232,5.1098921760584e-08,2.73237623209521e-05,1.18181818181818,1.18183904721123,2.63387761332981,2.63391086928161,2.66048237476809,2.66050781777287,2.16651456182473,2.16,2.71705263157895
45,2.59431652439913,2.67512740949143,2.1884016873918,2.18126722863615,2.71947767951898,1.16000003392576,1.16002225610557,3.39257586468023e-08,2.22561055736037e-05,1.17777777777778,1.17779440139956,2.64738465696542,2.64741189338068,2.66917378917379,2.66919416376664,2.16651456182473,2.16,2.71705263157895
46,2.61748408890293,2.68363639890174,2.1884016873918,2.18126722863615,2.71947767951898,1.16000002077873,1.1600174120571,2.07787256290004e-08,1.74120570999303e-05,1.17391304347826,1.17392577044768,2.66103095343358,2.66105237877138,2.67817122366652,2.67818690276802,2.16651456182473,2.16,2.71705263157895
47,2.64149303499028,2.692188512352,2.1884016873918,2.18126722863615,2.71947767951898,1.16000001119596,1.16001277713941,1.11959610471501e-08,1.2777139412945e-05,1.17021276595745,1.1702219093257,2.67481866671417,2.67483447531772,2.68746554955352,2.68747687217016,2.16651456182473,2.16,2.71705263157895
48,2.66638997225906,2.70110019456545,2.1884016873918,2.18126722863615,2.71947767951898,1.16000000477081,1.16000833809818,4.77080974725652e-09,8.33809817968323e-06,1.16666666666667,1.1666725109087,2.68875000593866,2.68876037919513,2.69704861111111,2.69705588597489,2.16651456182473,2.16,2.71705263157895
49,2.69241523992815,2.71018919676898,2.1884016873918,2.18126722863615,2.71947767951898,1.16000000114452,1.16000408277574,1.14451736976662e-09,4.08277573971105e-06,1.16326530612245,1.16326811019026,2.70282722656304,2.70283233394451,2.70691313174484,2.70691664049986,2.16651456182473,2.16,2.71705263157895
50,2.719477679519,2.719477679519,2.1884016873918,2.18126722863615,2.71947767951898,1.16,1.16,0,0,1.16,1.16,2.71705263157895,2.71705263157895,2.71705263157895,2.71705263157895,2.16651456182473,2.16,2.71705263157895
